Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006955~immune response	14	11.200000000000001	0.001829339133394521	FYB, LAIR1, ITGAL, CARD9, VTCN1, NCF4, CD1C, HLA-DQA1, SH2D1A, CST7, ZAP70, LTF, SERPINB4, HLA-DRA	102	690	13528	2.6909917590224497	0.8687425988217959	0.8687425988217959	2.8885469563413313
GOTERM_BP_FAT	GO:0031329~regulation of cellular catabolic process	4	3.2	0.010629449043278495	GAPDHS, APOC3, APOC2, FABP1	102	61	13528	8.696882031501124	0.9999928696968257	0.997329737246193	15.723484531868582
GOTERM_BP_FAT	GO:0030217~T cell differentiation	4	3.2	0.012627771441873286	CD3D, IKZF1, ZAP70, RHOH	102	65	13528	8.161689291101055	0.9999992425974333	0.990884602942252	18.407468265769957
GOTERM_BP_FAT	GO:0042110~T cell activation	5	4.0	0.014639671196797764	ITGAL, CD3D, IKZF1, ZAP70, RHOH	102	126	13528	5.2629940865234985	0.9999999211255528	0.9832415409644455	21.02857467328746
GOTERM_BP_FAT	GO:0050994~regulation of lipid catabolic process	3	2.4	0.015963085940568923	APOC3, APOC2, FABP1	102	26	13528	15.303167420814479	0.9999999822322708	0.9718209475793302	22.70945252773524
GOTERM_BP_FAT	GO:0006732~coenzyme metabolic process	5	4.0	0.027600690062092658	GGT5, GPD1, BAAT, PIPOX, ACSL6	102	153	13528	4.334230424195822	0.9999999999999669	0.994333894477271	36.11232118559096
GOTERM_BP_FAT	GO:0031331~positive regulation of cellular catabolic process	3	2.4	0.02949004980794832	GAPDHS, APOC2, FABP1	102	36	13528	11.052287581699346	0.9999999999999962	0.9912817892665384	38.07072950193974
GOTERM_BP_FAT	GO:0010916~negative regulation of very-low-density lipoprotein particle clearance	2	1.6	0.029534439027530276	APOC3, APOC2	102	4	13528	66.31372549019608	0.9999999999999963	0.9843281501144808	38.11605695589368
GOTERM_BP_FAT	GO:0010915~regulation of very-low-density lipoprotein particle clearance	2	1.6	0.029534439027530276	APOC3, APOC2	102	4	13528	66.31372549019608	0.9999999999999963	0.9843281501144808	38.11605695589368
GOTERM_BP_FAT	GO:0002684~positive regulation of immune system process	6	4.8	0.032805606673189616	CD38, SH2D1A, CARD9, IKZF1, ZAP70, HLA-DRA	102	238	13528	3.343549184379634	0.9999999999999999	0.9835950622167395	41.37207392086211
GOTERM_BP_FAT	GO:0051241~negative regulation of multicellular organismal process	5	4.0	0.034362374998666505	CD38, APOC3, APOC2, ATP1A2, NGFR	102	164	13528	4.043519846963175	1.0	0.9793037112081501	42.86457240883437
GOTERM_BP_FAT	GO:0009894~regulation of catabolic process	4	3.2	0.03503487222431549	GAPDHS, APOC3, APOC2, FABP1	102	96	13528	5.526143790849673	1.0	0.9725533348832945	43.49822399395207
GOTERM_BP_FAT	GO:0034382~chylomicron remnant clearance	2	1.6	0.03678207446493724	APOC3, APOC2	102	5	13528	53.05098039215686	1.0	0.9686759622703894	45.11384543384271
GOTERM_BP_FAT	GO:0010901~regulation of very-low-density lipoprotein particle remodeling	2	1.6	0.03678207446493724	APOC3, APOC2	102	5	13528	53.05098039215686	1.0	0.9686759622703894	45.11384543384271
GOTERM_BP_FAT	GO:0010985~negative regulation of lipoprotein particle clearance	2	1.6	0.03678207446493724	APOC3, APOC2	102	5	13528	53.05098039215686	1.0	0.9686759622703894	45.11384543384271
